city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,total cost
Federal Way,3,2.5,2080,2080,2.0,1989,300000.0
Seattle,2,1.0,820,820,1.0,1916,300000.0
Seattle,2,2.25,1000,1000,3.0,2006,305000.0
Seattle,2,1.0,810,810,1.0,1919,308830.7693
Seattle,3,1.5,1460,1100,1.0,1971,329932.0
Renton,3,2.25,2270,1380,1.0,1977,332000.0001
Renton,4,1.75,1700,1120,1.0,1981,349000.0
Seattle,4,2.5,2040,2040,2.0,2011,350000.0
Seattle,2,1.0,1320,1320,1.5,1909,395000.0
Kenmore,5,2.0,1930,1020,1.0,1962,400000.0
Seattle,4,1.5,1390,1140,1.0,1965,400000.0
Kenmore,4,2.0,1670,1670,1.0,1955,400000.0001
Seattle,4,2.75,1240,800,1.0,1987,400000.0
Kirkland,5,1.75,1880,960,1.0,1963,405000.0001
Redmond,3,2.0,1240,1240,1.0,1988,405000.0
Woodinville,3,1.75,2930,2030,1.0,1993,408900.0
Kent,3,1.75,1950,1950,1.0,1985,411999.9998
Seattle,2,1.0,1260,1040,1.0,1951,436500.0
Seattle,4,1.75,1990,1190,1.5,1944,445000.0
Seattle,4,2.0,2240,1120,1.0,1956,450000.0001
Kenmore,4,2.25,2590,1340,1.0,1968,452000.0
Federal Way,6,2.5,4410,2350,1.0,1965,472000.0001
Kirkland,3,1.0,2110,1110,1.0,1924,475300.0
Renton,4,2.75,2320,2320,2.0,2012,484991.6667
Seattle,4,1.0,1600,1600,1.5,1916,485000.0
Maple Valley,3,2.0,2590,1980,2.0,1988,503000.0002
Seattle,3,1.5,2240,1370,2.0,1929,510000.0001
Des Moines,3,3.0,2600,1890,1.5,1989,524999.9999
Duvall,5,2.5,2630,2630,2.0,2003,525000.0001
Seattle,3,1.0,1590,1590,1.0,1944,529000.0
Seattle,3,1.5,2600,1400,1.0,1940,539999.9999
Seattle,5,2.0,2450,1240,1.0,1900,550000.0
Redmond,4,2.5,2440,2440,2.0,1996,565000.0
Seattle,3,2.0,1480,750,1.0,1928,595000.0
Newcastle,4,2.5,2760,2760,2.0,1999,602500.0
Seattle,4,2.0,2300,1550,1.5,1915,619000.0001
Seattle,4,1.75,1640,920,1.0,1921,635200.0
Seattle,3,3.25,1730,1320,2.0,2008,645000.0
Snoqualmie,3,2.5,2930,2930,2.0,2008,650880.0
Snoqualmie,4,2.75,3310,3310,2.0,2008,658000.0
Redmond,3,2.5,2620,2620,2.0,1992,671999.9999
Sammamish,4,2.75,2620,2620,2.0,2000,672500.0
Seattle,3,2.25,2330,1520,1.5,1927,680000.0001
Seattle,3,1.75,1940,1440,1.0,1960,685000.0001
Issaquah,4,2.5,2920,2920,2.0,1990,689999.9999
Sammamish,3,2.5,2390,2390,2.0,2006,695000.0001
Bellevue,4,2.25,1960,1290,1.0,1959,723000.0
Seattle,5,3.0,2170,1450,1.5,1911,750500.0001
Bellevue,5,3.25,2900,1890,1.0,1967,790000.0
Seattle,4,2.25,2280,1960,1.5,1940,820000.0001
Bellevue,3,2.5,2770,2770,2.0,1991,859999.9999
Newcastle,4,3.5,4140,4140,2.0,2000,950000.0
Seattle,4,4.25,4960,3680,2.5,1909,1425000.0
Des Moines,2,1.5,1220,1220,1.5,1976,168000.0
Seattle,4,1.0,1290,1290,1.5,1957,173666.6667
Auburn,3,2.25,1590,1090,1.0,1978,189999.9999
Algona,3,2.0,1560,1560,1.0,1992,196440.0
Renton,3,2.0,2120,2120,1.0,1991,237481.2501
Seattle,3,2.0,1330,630,1.0,1900,240000.0
Seattle,2,1.0,1000,1000,1.0,1942,247875.0
Burien,3,1.75,1050,1050,1.0,1980,260000.0
Seattle,2,1.0,1880,940,1.0,1919,279999.9999
Seattle,2,1.0,1090,730,1.0,1942,287919.7826
Seattle,3,1.0,1210,1210,1.0,1955,299950.0
Renton,3,2.5,2260,2260,2.0,1994,309487.5
Seattle,3,2.0,1060,1060,1.0,1981,315000.0
Kent,4,2.5,2280,2280,2.0,1994,322000.0001
Seattle,3,1.75,2180,1090,1.0,1961,325000.0
Kenmore,3,2.25,1490,1490,2.0,2009,326983.3333
Seattle,2,2.5,1240,1240,2.0,2007,330000.0
Renton,3,2.5,2200,2200,2.0,1990,349900.0
Seattle,3,2.0,1550,1150,1.0,1959,369000.0
Woodinville,3,1.0,1200,1200,1.0,1971,374000.0
Kenmore,3,2.5,1860,1860,2.0,2000,384949.9999
Seattle,3,1.0,1220,1220,1.0,1901,385000.0
Covington,4,2.5,2910,2910,2.0,2002,395000.0
Redmond,2,1.75,1340,1340,1.0,2004,415000.0
North Bend,3,1.75,1510,1240,1.0,1989,425000.0001
Seattle,3,1.75,1680,840,1.0,1900,425000.0
Kirkland,3,2.25,1820,1260,1.0,1974,425000.0
Seattle,5,2.75,2220,1230,1.0,1973,427000.0001
Bothell,5,2.5,3090,2990,1.0,1957,458000.0
Bellevue,3,1.75,2580,1290,1.0,1951,459900.0
Woodinville,4,2.25,1820,1340,1.0,1977,465000.0001
Seattle,3,1.75,1920,960,1.0,1947,490000.0
North Bend,4,2.75,2620,2620,2.0,2013,499431.0
Sammamish,3,2.5,1950,1950,2.0,1988,530000.0
Snoqualmie,4,2.5,2720,2720,2.0,2012,545000.0
Seattle,3,1.5,2000,2000,1.0,1953,560000.0
Sammamish,4,2.0,2340,1170,1.0,1966,567999.9999
Federal Way,4,3.25,4240,3550,2.0,1989,624999.9999
Sammamish,3,2.5,2670,2670,1.0,1987,642000.0
Issaquah,4,2.5,2560,2560,2.0,1992,642000.0
Seattle,2,1.0,1890,1890,1.5,1909,645500.0
Seattle,2,2.5,1740,1210,2.0,1994,650000.0
Bellevue,4,2.25,2060,1440,1.0,1983,655000.0
Seattle,4,2.5,3190,2210,1.0,1946,659000.0001
Seattle,4,2.5,2310,1490,1.5,1927,700000.0
Seattle,4,1.75,3420,1770,1.0,1947,714999.9999
Seattle,4,3.0,2840,2060,1.5,1931,735000.0
Seattle,5,3.75,3990,3090,2.0,1937,740000.0
Seattle,4,2.75,2600,1560,1.0,1976,750000.0001
Seattle,4,2.5,2310,2310,2.0,2013,790000.0
Kirkland,3,2.5,2780,2780,2.0,2009,825500.0
Issaquah,7,4.5,4290,4290,1.5,1982,840000.0002
Bellevue,3,2.25,3060,3060,2.0,1983,860000.0001
Seattle,4,3.5,3760,2860,2.0,2014,919204.0
Mercer Island,4,1.75,2500,1500,1.0,1970,949999.9997
Mercer Island,4,2.5,3150,3150,2.0,1966,1256500.0
Bellevue,6,2.75,5700,2850,1.0,1977,1385000.0
Renton,3,2.5,1960,1960,2.0,2004,289950.0001
Sammamish,5,2.75,2080,2080,2.0,1987,538888.0001
Woodinville,4,2.5,2550,2550,2.0,1992,587000.0
Seattle,3,2.25,1760,1760,3.0,2014,615000.0
Sammamish,3,2.25,2675,2675,2.0,1984,660000.0
Redmond,3,2.5,2460,2460,2.0,1996,692999.9999
Des Moines,3,1.75,1790,1040,1.0,1960,243000.0
Seattle,1,1.0,750,750,1.0,1918,250000.0
Kirkland,3,1.75,1620,1090,1.0,1974,459000.0
Sammamish,4,1.75,2780,2780,2.0,1978,659999.9999
Seattle,4,3.5,3480,2580,2.0,1926,1505000.0
Federal Way,3,1.0,1010,1010,1.0,1969,199950.0
Kent,4,2.0,1850,1540,1.0,1978,250000.0
Auburn,4,2.5,1920,1920,2.0,1998,270000.0
Tukwila,3,1.0,1450,1050,1.0,1958,274950.0
Maple Valley,3,2.0,1380,1380,1.0,2008,275000.0
Seattle,2,2.5,1380,1140,2.0,2011,285000.0
Covington,3,2.5,2080,2080,2.0,2002,290000.0
Maple Valley,3,2.5,1950,1950,2.0,2010,298000.0
Auburn,4,2.5,2070,2070,2.0,2003,300000.0001
Shoreline,3,1.0,950,950,1.0,1950,305000.0
Issaquah,2,1.5,1140,1140,2.0,1988,305000.0
Seattle,3,1.0,960,960,1.0,1952,315000.0
Kent,3,2.25,2130,1570,1.0,1987,316000.0
Kent,5,2.5,3020,1510,1.0,1978,319999.9999
Renton,3,1.5,1320,1320,1.0,1970,327000.0
Seattle,2,2.5,1175,740,2.0,2005,342000.0
Seattle,3,1.75,1990,1320,1.0,1963,345000.0
Auburn,3,2.5,2680,2680,2.0,1990,350000.0
Kirkland,3,1.75,1510,1510,1.0,1967,366000.0
Seattle,2,1.0,1210,1060,1.0,1950,380000.0
Issaquah,3,2.25,1410,1290,2.0,2004,391000.0
Seattle,3,2.5,1495,1405,3.0,2006,400000.0
Seattle,3,1.5,2030,1330,1.0,1963,404000.0
Seattle,2,1.75,1710,1330,2.0,1920,404999.9999
Issaquah,4,1.75,1790,1490,1.0,1969,410000.0
Newcastle,4,2.75,2150,1240,1.0,1976,411000.0
Snoqualmie,3,2.5,2240,2240,2.0,2002,432500.0
Bellevue,3,1.5,1120,1120,1.0,1956,439800.0
Preston,2,2.0,1410,1410,1.5,1909,439900.0001
Lake Forest Park,4,2.75,2340,1720,1.0,1967,439999.9999
Seattle,2,1.0,1170,970,1.0,1941,455000.0
Seattle,3,1.75,1890,1290,1.0,1965,465500.0
Seattle,3,1.0,950,950,1.5,1948,469000.0
Sammamish,3,2.0,1750,1490,1.0,1982,472500.0
Issaquah,3,1.75,2770,1580,1.0,1978,491999.9999
Seattle,3,2.0,1720,960,1.0,1941,500000.0
Maple Valley,4,2.5,2910,2910,2.0,2006,525000.0
Issaquah,3,2.5,1690,1690,2.0,1984,535000.0
Seattle,4,1.75,1720,1460,1.5,1925,540000.0
Sammamish,5,2.75,2910,1590,1.0,1977,542804.7501
Seattle,3,1.5,1790,1790,1.5,1910,544000.0
Seattle,3,2.0,1810,1810,1.5,1925,550000.0
Woodinville,3,2.75,2930,1860,1.0,2004,559900.0001
Redmond,3,2.75,2180,1310,1.0,1981,568500.0
Issaquah,4,2.5,2220,2220,2.0,1988,580000.0001
Seattle,5,2.5,3990,1990,1.0,1962,610000.0
Redmond,4,2.5,2150,2150,2.0,1985,615000.0
Seattle,3,2.0,1760,960,1.0,1920,629000.0
Seattle,3,2.5,1960,980,1.0,1940,635000.0
Bellevue,4,2.5,2430,1670,1.0,1963,645000.0001
Issaquah,3,2.5,2290,2290,2.0,2006,653000.0
Seattle,4,2.25,1990,1420,1.5,1932,661000.0
Sammamish,4,2.5,2720,2720,2.0,1987,664999.9999
Sammamish,4,2.5,2710,2710,2.0,1999,668500.0
Redmond,3,2.25,2610,2610,2.0,1988,675000.0
Seattle,3,2.5,1840,920,1.0,1926,678333.3332
Seattle,3,1.5,1840,1840,2.0,1961,686000.0
Kirkland,4,2.75,3270,3270,2.0,2014,723243.75
Snoqualmie,4,2.5,3190,3190,2.0,2001,725995.0
Seattle,4,2.0,2360,1260,1.0,1939,730000.0
Vashon,3,3.0,3740,3740,2.0,1991,789000.0001
Redmond,2,2.5,2210,2210,1.0,2003,802000.0
Seattle,3,1.75,2160,1390,1.0,1960,820000.0
Mercer Island,4,3.0,4500,3040,2.0,1980,870000.0001
Bellevue,3,2.25,3020,2720,2.0,1969,955000.0
Bellevue,3,2.5,2730,2730,2.0,1998,1000000.0
Mercer Island,5,3.25,3160,3160,2.0,1972,1250000.0
Maple Valley,3,1.0,1200,1200,1.0,1969,108333.3334
Seattle,3,1.0,1040,1040,2.0,1942,148612.5001
Federal Way,2,2.5,1240,1240,2.0,1986,174500.0
Burien,3,1.5,1180,1180,1.0,1960,193000.0
Federal Way,3,1.0,1060,1060,1.0,1962,206000.0
Seattle,3,1.0,1110,1110,1.0,1962,210000.0
Pacific,3,2.0,1200,1200,1.0,1995,222400.0
Kent,3,1.0,1030,1030,1.0,1961,223000.0
Renton,3,2.0,1440,720,1.0,1942,230000.0
Des Moines,2,1.0,940,940,1.0,1952,234000.0
Renton,3,1.0,1250,1250,1.0,1959,235000.0
Renton,3,2.0,1530,1530,1.0,1970,235000.0
Seattle,2,1.0,720,720,1.0,1947,235000.0
Kent,3,1.75,1340,1340,1.0,1968,239000.0
Federal Way,3,2.25,1765,1765,2.0,1996,250000.0001
Renton,2,1.75,1220,860,1.0,1921,253000.0
Kent,3,1.75,1970,1970,1.0,1966,268000.0
Maple Valley,3,1.75,1590,1590,1.5,1926,269187.4999
Renton,3,2.0,1410,1410,1.0,1983,272500.0
Seattle,2,1.5,1480,1480,1.0,1940,280000.0
North Bend,2,1.0,1170,1170,1.0,1963,295000.0
Auburn,5,2.75,2481,2481,2.0,2014,309000.0001
Maple Valley,4,2.5,1830,1830,2.0,2003,312000.0
Seattle,3,2.25,1540,770,1.0,1954,312000.0
Renton,3,2.0,1880,940,1.0,1952,319999.9999
Seattle,3,3.25,1530,1140,2.0,2013,320000.0
Auburn,3,1.75,2250,2250,1.0,1980,325000.0
Kent,3,2.5,1950,1950,2.0,1990,328500.0
Renton,5,2.75,2670,2670,2.0,2014,341166.6668
Maple Valley,4,2.5,2240,2240,2.0,2014,363990.0
Federal Way,6,1.5,2550,1750,1.0,1958,375900.0001
Seattle,3,2.0,1080,1080,1.0,1947,390000.0
Bellevue,3,1.5,1200,1200,1.0,1962,399999.9999
Kenmore,3,2.25,1450,1450,2.0,2009,400000.0
Duvall,3,3.25,2780,2780,2.0,2009,402500.0001
Seattle,2,1.75,1370,1370,1.0,1944,409950.0
Bothell,3,1.75,1660,1380,1.0,1981,420000.0001
Bothell,3,2.25,1870,1440,1.0,1978,425000.0
Seattle,3,2.25,1660,1110,1.0,1979,425000.0
Seattle,2,2.5,1140,1140,3.0,2007,425000.0
North Bend,3,3.0,2340,2340,2.0,2013,427874.0
Lake Forest Park,4,2.25,1790,1110,1.0,1973,430000.0001
Seattle,3,2.0,1360,910,1.5,1924,430000.0
Snoqualmie,3,2.5,1970,1970,2.0,2003,432000.0001
Issaquah,3,1.75,2220,1110,1.0,1988,435000.0004
North Bend,3,2.25,1680,1680,2.0,1989,440000.0
Seattle,2,1.0,1230,1130,1.0,1906,440000.0001
Kirkland,5,2.75,2040,1200,1.0,1969,449500.0
North Bend,4,2.5,3030,2020,2.0,1998,471000.0001
Woodinville,3,2.25,1800,1800,1.0,1976,474900.0001
Renton,3,2.5,2600,2600,2.0,1989,474999.9999
Bellevue,4,2.25,2220,1110,1.0,1961,495000.0
Seattle,3,1.75,1620,830,1.0,1945,500000.0
Lake Forest Park,3,2.5,2190,2190,2.0,1999,503000.0001
Seattle,4,2.25,2290,2120,2.0,1958,535000.0
Seattle,3,1.75,1810,1810,1.5,1903,544999.9999
Woodinville,3,2.5,2110,2110,2.0,2001,548000.0
Redmond,4,2.5,2170,1460,1.0,1980,550000.0
Kirkland,3,1.75,2000,1400,1.0,1963,560000.0
Redmond,3,2.25,2090,2090,2.0,1983,562099.9999
Kent,3,2.25,3800,3330,1.0,1976,574999.9999
Snoqualmie,4,2.75,3120,3120,2.0,2010,575000.0001
Renton,4,2.5,3150,3150,2.0,2014,580134.9998
Federal Way,4,4.25,2360,2360,2.0,1939,590000.0
Seattle,4,2.0,2580,1300,1.0,1950,596165.4286
Issaquah,4,2.5,2620,2620,2.0,1987,600000.0
Burien,4,2.5,1960,1290,1.0,1958,600000.0
Seattle,3,2.0,2060,1120,1.0,1947,605000.0
Bellevue,5,2.5,2070,1340,1.0,1967,613000.0
Newcastle,3,2.5,2370,2370,2.0,1993,640000.0
Seattle,5,2.75,2550,2550,1.5,1902,650000.0
Woodinville,4,2.5,2790,2790,2.0,1987,654949.9998
Seattle,3,2.5,2290,2290,3.0,1953,660000.0
Bellevue,5,2.75,3040,3040,2.0,1993,667781.2499
Seattle,3,2.75,2390,1390,1.0,1942,689800.0001
Sammamish,4,2.5,2961,2961,2.0,1998,695000.0
Seattle,3,2.0,2140,1070,1.0,1928,710000.0001
Bellevue,3,1.5,1660,1660,1.0,1956,712499.9999
Mercer Island,3,2.0,2050,2050,1.0,1951,713250.0
Issaquah,4,2.5,2870,2870,2.0,1986,719999.9999
Issaquah,3,2.5,2430,2430,2.0,1987,770000.0002
Seattle,5,1.0,2550,2550,2.5,1905,847000.0001
Sammamish,4,2.25,3720,1860,1.0,1970,874999.9999
Redmond,2,2.5,2680,2680,1.0,2006,930000.0
Shoreline,5,3.5,3490,2460,2.0,1980,941499.9999
Seattle,4,3.0,4590,3490,2.0,1981,959999.9999
Newcastle,4,3.75,4130,4130,2.0,2001,1070000.0
Kent,1,1.0,650,650,1.0,1967,129000.0
Seattle,1,1.0,790,790,1.0,1942,135000.0
Federal Way,4,1.75,1720,1220,1.0,1974,161700.0
Tukwila,2,1.0,1500,1500,1.0,1950,170000.0
Seattle,2,1.0,670,670,1.0,1919,175000.0
Renton,5,2.0,1750,1750,1.0,1943,189999.9999
Auburn,3,1.0,920,920,1.0,1977,212500.0
Federal Way,3,2.25,1500,1150,1.0,1984,219950.0
Kent,3,1.75,1730,1730,1.0,1972,228944.4445
Seattle,3,1.75,1460,990,1.0,1997,240500.0
Des Moines,4,2.0,2120,2120,1.5,1960,250000.0
Federal Way,3,2.0,1710,1710,2.0,1988,250500.0
Covington,3,1.5,1810,950,1.0,1983,261000.0
Kent,3,2.25,2080,1550,1.5,2003,270000.0
Federal Way,3,2.5,1720,1000,1.0,1983,274999.9999
Shoreline,2,1.0,770,770,1.0,1948,275000.0
Seattle,2,1.0,960,960,1.0,1942,280000.0
Auburn,3,2.5,2437,2437,2.0,2011,285000.0
Kent,3,2.0,1670,1670,1.0,1992,289950.0
North Bend,3,2.0,1350,1110,1.0,1995,310000.0
Seattle,3,1.0,1010,1010,1.0,1959,317000.0
Renton,3,1.5,1650,1130,1.0,1978,320000.0001
Shoreline,3,1.0,1210,1210,1.0,1949,324950.0
Renton,4,1.75,1650,1650,1.0,1968,327500.0
Seattle,3,1.0,1070,1070,1.0,1989,327500.0
Renton,4,2.75,2540,1600,1.0,1979,335000.0
Kent,3,1.75,2190,2190,2.0,1978,340000.0
Seattle,2,1.75,1650,950,1.0,1947,355000.0
Duvall,4,2.5,2310,2310,2.0,1978,364949.9999
Seattle,2,1.0,1250,1250,1.0,1947,365000.0
Seattle,3,1.5,1420,1420,1.0,1959,371000.0
Seattle,4,1.75,2200,1100,1.0,1955,375000.0
Seattle,2,1.0,820,820,1.0,1922,375000.0
Seattle,3,2.25,1250,1250,1.0,1942,390000.0001
Normandy Park,3,1.0,1240,1240,1.0,1952,389999.9999
Renton,4,2.5,2150,2150,2.0,2005,392500.0
Seattle,3,1.5,2080,1190,1.0,1959,399950.0
Renton,3,2.0,2260,1130,1.0,1986,400000.0
Kenmore,3,1.75,1530,1530,1.0,1986,400000.0
Seattle,3,1.75,1840,1040,1.0,1952,411715.0
Shoreline,4,2.5,2000,2000,2.0,1999,415000.0
Snoqualmie,3,2.5,2060,2060,2.0,2007,418500.0001
Renton,4,2.5,2460,2460,2.0,2003,427500.0
Seattle,2,1.75,1500,910,1.0,1942,437000.0
Renton,5,2.5,2300,1170,1.0,1967,453500.0001
Seattle,3,1.75,1420,1420,3.0,2006,455000.0
Kirkland,3,2.0,1800,1800,1.0,1956,470000.0
Maple Valley,3,2.5,2340,2340,1.0,1985,484999.9999
Seattle,3,2.5,1520,1040,2.0,2007,499950.0
Shoreline,5,3.0,2920,2920,2.0,2003,500000.0
Issaquah,3,3.25,1540,1540,2.0,2011,520000.0
Seattle,3,2.0,1540,1540,1.0,2004,525000.0
Redmond,4,1.75,2020,1430,1.0,1979,531999.9999
Issaquah,3,2.5,1820,1820,2.0,1993,532000.0001
Redmond,3,2.5,1710,1570,2.0,2005,539000.0
Kenmore,5,2.5,2730,1660,1.0,1958,545000.0
Issaquah,4,2.25,2740,2740,2.0,1991,549000.0001
Woodinville,4,2.75,3370,3370,2.0,1991,557125.0002
Newcastle,3,2.5,2070,2070,2.0,1996,560000.0
Bellevue,5,2.5,2650,1400,1.0,1961,564999.9999
Redmond,3,2.25,1830,1290,1.0,1986,572000.0001
Redmond,6,2.75,2630,1650,1.0,1974,582999.9999
Seattle,3,2.5,1780,1600,3.0,2006,586500.0
Kenmore,4,2.5,4060,2150,1.0,1977,603500.0
Snoqualmie,4,3.5,2910,2910,2.0,2012,610000.0001
Bellevue,4,2.25,2500,1600,1.0,1978,645999.9999
Snoqualmie,4,2.5,3290,3290,2.0,2008,648000.0
Issaquah,3,2.25,2560,2560,2.0,1986,658587.9998
Woodinville,4,2.5,2770,2770,2.0,1989,685000.0002
Redmond,3,2.25,2370,1650,1.0,1973,745999.9999
Redmond,4,2.5,2730,2730,2.0,1986,759999.9999
Seattle,3,2.0,1990,1130,1.0,1912,760500.0
Snoqualmie,4,3.0,4410,3400,2.0,2006,765000.0
Kirkland,3,2.25,2430,1810,2.0,1989,791000.0
Kirkland,4,2.5,2700,2700,2.0,1994,837500.0
Renton,3,3.25,4720,3190,2.0,1998,860000.0002
Seattle,3,1.75,2090,1610,2.0,1947,865000.0
Sammamish,4,2.75,3790,3790,2.0,1999,874999.9999
Bellevue,4,2.5,2770,2770,2.0,1987,907500.0
Seattle,5,3.5,3280,2440,2.0,2003,988999.9999
Bellevue,5,2.75,2660,1470,1.0,1969,1100000.0
Bellevue,5,3.5,3880,2540,2.0,1979,1126000.0
Renton,3,1.0,1010,1010,1.0,1958,189000.0
Federal Way,4,1.5,1920,1370,1.0,1959,210000.0
Auburn,2,2.5,1150,1150,2.0,2004,214100.0
Seattle,2,1.0,1190,830,1.0,1941,228999.9999
SeaTac,3,1.0,1130,1130,1.0,1954,237000.0
Auburn,4,2.5,2068,2068,2.0,1976,237227.8571
Issaquah,3,1.0,1150,1150,1.0,1957,240000.0
Woodinville,3,2.5,1510,1030,1.0,1976,250000.0
Kent,3,2.5,1610,1610,2.0,1994,255000.0
Federal Way,4,2.75,2330,1800,1.0,1990,257000.0
Kent,4,2.5,2100,2100,2.0,2006,268500.0001
Seattle,3,1.0,1690,1020,1.0,1967,269000.0
Burien,3,1.5,1890,1090,1.0,1957,270000.0001
Renton,3,1.0,1500,1500,1.0,1968,270000.0001
Seattle,3,3.0,1390,1140,2.0,2006,275000.0
Des Moines,3,2.0,1750,1350,1.0,1961,279950.0001
Enumclaw,3,2.0,1680,1680,1.0,1993,289000.0
Kent,5,2.5,2490,1490,1.0,1989,292000.0
Maple Valley,4,2.5,1910,1910,2.0,2005,297500.0
Auburn,4,1.75,1560,1560,1.0,1965,299950.0
Seattle,3,2.5,1660,1660,2.0,2009,324500.0
Auburn,4,2.5,2610,2610,2.0,2009,335000.0
Seattle,3,2.0,1170,1170,1.0,1919,335000.0
Maple Valley,4,2.5,2070,2070,2.0,2004,343000.0
Maple Valley,3,2.5,2600,2600,2.0,2004,355500.0
Seattle,2,1.0,920,920,1.0,1914,356000.0
Auburn,4,2.5,2390,2390,2.0,1999,359799.9999
Sammamish,3,1.5,1180,800,1.0,1981,372500.0
Redmond,3,1.75,960,960,1.0,1962,375000.0
Maple Valley,4,2.75,2420,2420,2.0,2005,375999.9999
Kenmore,3,2.25,1710,1210,1.0,1978,385000.0
Seattle,3,2.0,1463,1463,3.0,2003,389999.9999
Shoreline,4,3.0,1980,1160,1.0,1983,395000.0
Issaquah,3,1.75,1460,1460,1.0,1961,395000.0
Auburn,4,2.5,2658,2658,2.0,2014,411605.0001
Kirkland,3,2.0,1330,1330,1.0,1969,420642.8571
Des Moines,4,2.75,2440,2440,2.0,1957,425000.0
Seattle,3,1.75,1980,1090,1.0,1910,440825.0
Seattle,4,2.5,2340,2340,2.0,2008,445000.0
Kenmore,3,2.5,2170,2170,2.0,2003,449950.0
Seattle,4,1.0,2000,1250,1.5,1916,449999.9999
Seattle,4,1.75,2000,1300,1.0,1959,453500.0
Seattle,4,1.75,1670,1670,1.0,1947,456000.0
Seattle,3,2.25,1530,1050,2.0,2014,465000.0
Seattle,3,1.0,1430,950,1.0,1945,466500.0
Kirkland,3,2.5,1480,1480,2.0,1996,466800.0001
North Bend,4,3.75,2810,2070,2.0,1994,492000.0001
Seattle,5,3.0,2440,1450,1.0,2006,495000.0001
Seattle,3,3.5,1690,1360,2.0,2008,499000.0
Duvall,3,2.5,2520,2520,1.5,1988,499500.0
Duvall,3,2.5,2370,2370,2.0,2001,499950.0001
Issaquah,4,3.25,4160,2760,2.0,1973,529999.9998
Bellevue,4,2.25,2210,2210,2.0,1968,530000.0
Seattle,4,2.25,2980,2020,1.5,1935,535000.0
Bellevue,4,2.25,1330,1330,1.5,1962,540000.0
Renton,3,1.75,1700,1700,1.5,1931,545000.0002
Seattle,3,2.5,1480,1480,1.0,1968,547000.0001
Renton,4,2.5,2700,2700,2.0,2007,550000.0001
Redmond,4,2.75,2020,1420,1.0,1976,554999.9999
Kirkland,4,2.5,2260,2260,2.0,2003,560000.0
Bellevue,3,2.75,2390,1360,1.0,1977,565000.0001
Redmond,3,2.5,1640,1640,2.0,1992,592105.7143
Mercer Island,4,1.75,1830,1230,2.0,1990,610000.0
Seattle,4,1.75,1660,1660,1.5,1926,619000.0
Seattle,4,2.25,2400,1460,1.5,1929,619999.9999
Issaquah,4,3.75,4610,2500,1.0,1980,630000.0
Seattle,3,1.75,2340,1170,1.0,1917,640000.0
Kirkland,3,2.5,2680,1610,1.0,1979,652999.9999
Seattle,3,2.5,2050,2050,2.0,2011,700000.0
Seattle,3,1.75,1910,1080,1.0,1959,700000.0
Bellevue,4,2.75,2420,1530,1.0,1977,725000.0
Bellevue,3,2.5,2670,2670,2.0,1987,748999.9999
Woodinville,4,2.75,3110,3110,2.0,1983,749950.0
Mercer Island,4,2.25,2070,1700,1.0,1967,795000.0
Sammamish,3,3.5,3590,3590,2.0,1999,798000.0
Bellevue,4,3.5,3500,2500,2.0,1994,799000.0
Seattle,3,3.5,3250,2500,2.0,2001,874999.9999
Seattle,5,2.5,2920,2320,2.0,1906,875000.0
Seattle,4,2.0,2660,1480,1.5,1923,886000.0
Snoqualmie,5,4.75,5180,4070,2.0,2001,1075000.0
Seattle,6,4.5,3902,2782,3.0,1977,1300000.0
Bellevue,4,5.25,4670,4670,2.0,1989,1415000.0
Burien,3,1.0,1840,920,1.0,1953,185000.0
Seattle,2,1.0,810,810,1.0,1948,253500.0
Federal Way,4,2.25,1900,1900,1.0,1975,270000.0
Seattle,5,2.5,2690,2690,2.0,2012,278999.9999
Seattle,2,1.0,780,780,1.0,1943,285000.0
Federal Way,3,2.0,1970,1300,1.0,1967,294700.0
Federal Way,4,2.5,2680,2680,2.0,1999,299999.9999
Fall City,3,1.5,1750,1150,1.0,1954,315000.0
Maple Valley,3,2.5,3080,3080,2.0,1990,315368.6999
Milton,3,1.75,1370,1370,1.0,1983,320000.0
Shoreline,3,1.75,1020,1020,1.5,1953,360000.0
Seattle,4,1.0,1550,1550,1.5,1954,385200.0
Normandy Park,3,1.0,1560,1560,1.0,1953,387500.0
Seattle,2,1.5,1490,930,1.0,1956,389250.0
Des Moines,3,2.5,2700,1350,1.0,1959,402000.0
Seattle,2,2.0,1405,1140,2.0,2007,405000.0
Carnation,4,2.0,1880,1880,2.0,1978,407193.0001
Woodinville,3,1.75,1910,1340,1.0,1977,415000.0
Kirkland,4,2.25,2070,2070,2.0,1977,417985.7143
Lake Forest Park,3,1.75,1470,1070,1.0,1939,432000.0
Seattle,2,1.0,1260,1260,1.5,1926,435000.0
Bellevue,4,2.0,1470,1470,1.0,1965,444999.9999
Issaquah,3,2.5,1480,1480,2.0,2005,450000.0
Seattle,2,1.75,1740,990,1.0,1946,452000.0
Renton,4,1.75,2050,1250,1.0,1959,455000.0001
Bellevue,4,2.25,1740,1170,1.0,1958,455000.0001
Issaquah,3,2.5,2030,1720,2.0,2001,471000.0001
Seattle,4,1.0,1720,1720,1.5,1904,500000.0
Kirkland,3,1.75,1480,1480,1.0,1974,510000.0
Kirkland,4,1.5,1320,1320,1.0,1954,510000.0
Kirkland,5,2.75,2440,1240,1.0,1972,525000.0001
Woodinville,3,1.5,1730,1730,2.0,1983,535500.0001
