city,number of rooms,security level of the community,residence space,aboveground space ,noise level,building year,cost rank
Redmond,2,2.5,2210,2210,1.0,2003,4
Seattle,3,1.75,2160,1390,1.0,1960,4
Mercer Island,4,3.0,4500,3040,2.0,1980,4
Bellevue,3,2.25,3020,2720,2.0,1969,4
Bellevue,3,2.5,2730,2730,2.0,1998,4
Mercer Island,5,3.25,3160,3160,2.0,1972,4
Maple Valley,3,1.0,1200,1200,1.0,1969,1
Seattle,3,1.0,1040,1040,2.0,1942,1
Federal Way,2,2.5,1240,1240,2.0,1986,1
Burien,3,1.5,1180,1180,1.0,1960,1
Federal Way,3,1.0,1060,1060,1.0,1962,1
Seattle,3,1.0,1110,1110,1.0,1962,1
Pacific,3,2.0,1200,1200,1.0,1995,1
Kent,3,1.0,1030,1030,1.0,1961,1
Renton,3,2.0,1440,720,1.0,1942,1
Des Moines,2,1.0,940,940,1.0,1952,1
Renton,3,1.0,1250,1250,1.0,1959,1
Renton,3,2.0,1530,1530,1.0,1970,1
Seattle,2,1.0,720,720,1.0,1947,1
Kent,3,1.75,1340,1340,1.0,1968,1
Federal Way,3,2.25,1765,1765,2.0,1996,1
Renton,2,1.75,1220,860,1.0,1921,1
Kent,3,1.75,1970,1970,1.0,1966,1
Maple Valley,3,1.75,1590,1590,1.5,1926,1
Renton,3,2.0,1410,1410,1.0,1983,1
Seattle,2,1.5,1480,1480,1.0,1940,1
North Bend,2,1.0,1170,1170,1.0,1963,1
Auburn,5,2.75,2481,2481,2.0,2014,2
Maple Valley,4,2.5,1830,1830,2.0,2003,2
Seattle,3,2.25,1540,770,1.0,1954,2
Renton,3,2.0,1880,940,1.0,1952,2
Seattle,3,3.25,1530,1140,2.0,2013,2
Auburn,3,1.75,2250,2250,1.0,1980,2
Kent,3,2.5,1950,1950,2.0,1990,2
Renton,5,2.75,2670,2670,2.0,2014,2
Maple Valley,4,2.5,2240,2240,2.0,2014,2
Federal Way,6,1.5,2550,1750,1.0,1958,2
Seattle,3,2.0,1080,1080,1.0,1947,2
Bellevue,3,1.5,1200,1200,1.0,1962,2
Kenmore,3,2.25,1450,1450,2.0,2009,2
Duvall,3,3.25,2780,2780,2.0,2009,2
Seattle,2,1.75,1370,1370,1.0,1944,2
Bothell,3,1.75,1660,1380,1.0,1981,2
Bothell,3,2.25,1870,1440,1.0,1978,2
Seattle,3,2.25,1660,1110,1.0,1979,2
Seattle,2,2.5,1140,1140,3.0,2007,2
North Bend,3,3.0,2340,2340,2.0,2013,2
Lake Forest Park,4,2.25,1790,1110,1.0,1973,2
Seattle,3,2.0,1360,910,1.5,1924,2
Snoqualmie,3,2.5,1970,1970,2.0,2003,2
Issaquah,3,1.75,2220,1110,1.0,1988,2
North Bend,3,2.25,1680,1680,2.0,1989,2
Seattle,2,1.0,1230,1130,1.0,1906,2
Kirkland,5,2.75,2040,1200,1.0,1969,2
North Bend,4,2.5,3030,2020,2.0,1998,2
Woodinville,3,2.25,1800,1800,1.0,1976,2
Renton,3,2.5,2600,2600,2.0,1989,2
Bellevue,4,2.25,2220,1110,1.0,1961,2
Seattle,3,1.75,1620,830,1.0,1945,3
Lake Forest Park,3,2.5,2190,2190,2.0,1999,3
Seattle,4,2.25,2290,2120,2.0,1958,3
Seattle,3,1.75,1810,1810,1.5,1903,3
Woodinville,3,2.5,2110,2110,2.0,2001,3
Redmond,4,2.5,2170,1460,1.0,1980,3
Kirkland,3,1.75,2000,1400,1.0,1963,3
Redmond,3,2.25,2090,2090,2.0,1983,3
Kent,3,2.25,3800,3330,1.0,1976,3
Snoqualmie,4,2.75,3120,3120,2.0,2010,3
Renton,4,2.5,3150,3150,2.0,2014,3
Federal Way,4,4.25,2360,2360,2.0,1939,3
Seattle,4,2.0,2580,1300,1.0,1950,3
Issaquah,4,2.5,2620,2620,2.0,1987,3
Burien,4,2.5,1960,1290,1.0,1958,3
Seattle,3,2.0,2060,1120,1.0,1947,3
Bellevue,5,2.5,2070,1340,1.0,1967,3
Newcastle,3,2.5,2370,2370,2.0,1993,3
Seattle,5,2.75,2550,2550,1.5,1902,3
Woodinville,4,2.5,2790,2790,2.0,1987,3
Seattle,3,2.5,2290,2290,3.0,1953,3
Bellevue,5,2.75,3040,3040,2.0,1993,3
Seattle,3,2.75,2390,1390,1.0,1942,3
Sammamish,4,2.5,2961,2961,2.0,1998,3
Seattle,3,2.0,2140,1070,1.0,1928,4
Bellevue,3,1.5,1660,1660,1.0,1956,4
Mercer Island,3,2.0,2050,2050,1.0,1951,4
Issaquah,4,2.5,2870,2870,2.0,1986,4
Issaquah,3,2.5,2430,2430,2.0,1987,4
Seattle,5,1.0,2550,2550,2.5,1905,4
Sammamish,4,2.25,3720,1860,1.0,1970,4
Redmond,2,2.5,2680,2680,1.0,2006,4
Shoreline,5,3.5,3490,2460,2.0,1980,4
Seattle,4,3.0,4590,3490,2.0,1981,4
Newcastle,4,3.75,4130,4130,2.0,2001,4
Kent,1,1.0,650,650,1.0,1967,1
Seattle,1,1.0,790,790,1.0,1942,1
Federal Way,4,1.75,1720,1220,1.0,1974,1
Tukwila,2,1.0,1500,1500,1.0,1950,1
Seattle,2,1.0,670,670,1.0,1919,1
Renton,5,2.0,1750,1750,1.0,1943,1
Auburn,3,1.0,920,920,1.0,1977,1
Federal Way,3,2.25,1500,1150,1.0,1984,1
Kent,3,1.75,1730,1730,1.0,1972,1
Seattle,3,1.75,1460,990,1.0,1997,1
Des Moines,4,2.0,2120,2120,1.5,1960,1
Federal Way,3,2.0,1710,1710,2.0,1988,1
Covington,3,1.5,1810,950,1.0,1983,1
Kent,3,2.25,2080,1550,1.5,2003,1
Federal Way,3,2.5,1720,1000,1.0,1983,1
Shoreline,2,1.0,770,770,1.0,1948,1
Seattle,2,1.0,960,960,1.0,1942,1
Auburn,3,2.5,2437,2437,2.0,2011,1
Kent,3,2.0,1670,1670,1.0,1992,1
North Bend,3,2.0,1350,1110,1.0,1995,2
Seattle,3,1.0,1010,1010,1.0,1959,2
Renton,3,1.5,1650,1130,1.0,1978,2
Shoreline,3,1.0,1210,1210,1.0,1949,2
Renton,4,1.75,1650,1650,1.0,1968,2
Seattle,3,1.0,1070,1070,1.0,1989,2
Renton,4,2.75,2540,1600,1.0,1979,2
Kent,3,1.75,2190,2190,2.0,1978,2
Seattle,2,1.75,1650,950,1.0,1947,2
Duvall,4,2.5,2310,2310,2.0,1978,2
Seattle,2,1.0,1250,1250,1.0,1947,2
Seattle,3,1.5,1420,1420,1.0,1959,2
Seattle,4,1.75,2200,1100,1.0,1955,2
Seattle,2,1.0,820,820,1.0,1922,2
Seattle,3,2.25,1250,1250,1.0,1942,2
Normandy Park,3,1.0,1240,1240,1.0,1952,2
Renton,4,2.5,2150,2150,2.0,2005,2
Seattle,3,1.5,2080,1190,1.0,1959,2
Renton,3,2.0,2260,1130,1.0,1986,2
Kenmore,3,1.75,1530,1530,1.0,1986,2
Seattle,3,1.75,1840,1040,1.0,1952,2
Shoreline,4,2.5,2000,2000,2.0,1999,2
Snoqualmie,3,2.5,2060,2060,2.0,2007,2
Renton,4,2.5,2460,2460,2.0,2003,2
Seattle,2,1.75,1500,910,1.0,1942,2
Renton,5,2.5,2300,1170,1.0,1967,2
Seattle,3,1.75,1420,1420,3.0,2006,2
Kirkland,3,2.0,1800,1800,1.0,1956,2
Maple Valley,3,2.5,2340,2340,1.0,1985,2
Seattle,3,2.5,1520,1040,2.0,2007,2
Shoreline,5,3.0,2920,2920,2.0,2003,3
Issaquah,3,3.25,1540,1540,2.0,2011,3
Seattle,3,2.0,1540,1540,1.0,2004,3
Redmond,4,1.75,2020,1430,1.0,1979,3
Issaquah,3,2.5,1820,1820,2.0,1993,3
Redmond,3,2.5,1710,1570,2.0,2005,3
Kenmore,5,2.5,2730,1660,1.0,1958,3
Issaquah,4,2.25,2740,2740,2.0,1991,3
Woodinville,4,2.75,3370,3370,2.0,1991,3
Newcastle,3,2.5,2070,2070,2.0,1996,3
Bellevue,5,2.5,2650,1400,1.0,1961,3
Redmond,3,2.25,1830,1290,1.0,1986,3
Redmond,6,2.75,2630,1650,1.0,1974,3
Seattle,3,2.5,1780,1600,3.0,2006,3
Kenmore,4,2.5,4060,2150,1.0,1977,3
Snoqualmie,4,3.5,2910,2910,2.0,2012,3
Bellevue,4,2.25,2500,1600,1.0,1978,3
Snoqualmie,4,2.5,3290,3290,2.0,2008,3
Issaquah,3,2.25,2560,2560,2.0,1986,3
Woodinville,4,2.5,2770,2770,2.0,1989,3
Redmond,3,2.25,2370,1650,1.0,1973,4
Redmond,4,2.5,2730,2730,2.0,1986,4
Seattle,3,2.0,1990,1130,1.0,1912,4
Snoqualmie,4,3.0,4410,3400,2.0,2006,4
Kirkland,3,2.25,2430,1810,2.0,1989,4
Kirkland,4,2.5,2700,2700,2.0,1994,4
Renton,3,3.25,4720,3190,2.0,1998,4
Seattle,3,1.75,2090,1610,2.0,1947,4
Sammamish,4,2.75,3790,3790,2.0,1999,4
Bellevue,4,2.5,2770,2770,2.0,1987,4
Seattle,5,3.5,3280,2440,2.0,2003,4
Bellevue,5,2.75,2660,1470,1.0,1969,4
Bellevue,5,3.5,3880,2540,2.0,1979,4
Renton,3,1.0,1010,1010,1.0,1958,1
Federal Way,4,1.5,1920,1370,1.0,1959,1
Auburn,2,2.5,1150,1150,2.0,2004,1
Seattle,2,1.0,1190,830,1.0,1941,1
SeaTac,3,1.0,1130,1130,1.0,1954,1
Auburn,4,2.5,2068,2068,2.0,1976,1
Issaquah,3,1.0,1150,1150,1.0,1957,1
Woodinville,3,2.5,1510,1030,1.0,1976,1
Kent,3,2.5,1610,1610,2.0,1994,1
Federal Way,4,2.75,2330,1800,1.0,1990,1
Kent,4,2.5,2100,2100,2.0,2006,1
Seattle,3,1.0,1690,1020,1.0,1967,1
Burien,3,1.5,1890,1090,1.0,1957,1
Renton,3,1.0,1500,1500,1.0,1968,1
Seattle,3,3.0,1390,1140,2.0,2006,1
Des Moines,3,2.0,1750,1350,1.0,1961,1
Enumclaw,3,2.0,1680,1680,1.0,1993,1
Kent,5,2.5,2490,1490,1.0,1989,1
Maple Valley,4,2.5,1910,1910,2.0,2005,1
Auburn,4,1.75,1560,1560,1.0,1965,1
Seattle,3,2.5,1660,1660,2.0,2009,2
Auburn,4,2.5,2610,2610,2.0,2009,2
Seattle,3,2.0,1170,1170,1.0,1919,2
Maple Valley,4,2.5,2070,2070,2.0,2004,2
Maple Valley,3,2.5,2600,2600,2.0,2004,2
Seattle,2,1.0,920,920,1.0,1914,2
Auburn,4,2.5,2390,2390,2.0,1999,2
Sammamish,3,1.5,1180,800,1.0,1981,2
Redmond,3,1.75,960,960,1.0,1962,2
Maple Valley,4,2.75,2420,2420,2.0,2005,2
Kenmore,3,2.25,1710,1210,1.0,1978,2
Seattle,3,2.0,1463,1463,3.0,2003,2
Shoreline,4,3.0,1980,1160,1.0,1983,2
Issaquah,3,1.75,1460,1460,1.0,1961,2
Auburn,4,2.5,2658,2658,2.0,2014,2
Kirkland,3,2.0,1330,1330,1.0,1969,2
Des Moines,4,2.75,2440,2440,2.0,1957,2
Seattle,3,1.75,1980,1090,1.0,1910,2
Seattle,4,2.5,2340,2340,2.0,2008,2
Kenmore,3,2.5,2170,2170,2.0,2003,2
Seattle,4,1.0,2000,1250,1.5,1916,2
Seattle,4,1.75,2000,1300,1.0,1959,2
Seattle,4,1.75,1670,1670,1.0,1947,2
Seattle,3,2.25,1530,1050,2.0,2014,2
Seattle,3,1.0,1430,950,1.0,1945,2
Kirkland,3,2.5,1480,1480,2.0,1996,2
North Bend,4,3.75,2810,2070,2.0,1994,2
Seattle,5,3.0,2440,1450,1.0,2006,2
Seattle,3,3.5,1690,1360,2.0,2008,2
Duvall,3,2.5,2520,2520,1.5,1988,2
Duvall,3,2.5,2370,2370,2.0,2001,2
Issaquah,4,3.25,4160,2760,2.0,1973,3
Bellevue,4,2.25,2210,2210,2.0,1968,3
Seattle,4,2.25,2980,2020,1.5,1935,3
Bellevue,4,2.25,1330,1330,1.5,1962,3
Renton,3,1.75,1700,1700,1.5,1931,3
Seattle,3,2.5,1480,1480,1.0,1968,3
Renton,4,2.5,2700,2700,2.0,2007,3
Redmond,4,2.75,2020,1420,1.0,1976,3
Kirkland,4,2.5,2260,2260,2.0,2003,3
Bellevue,3,2.75,2390,1360,1.0,1977,3
Redmond,3,2.5,1640,1640,2.0,1992,3
Mercer Island,4,1.75,1830,1230,2.0,1990,3
Seattle,4,1.75,1660,1660,1.5,1926,3
Seattle,4,2.25,2400,1460,1.5,1929,3
Issaquah,4,3.75,4610,2500,1.0,1980,3
Seattle,3,1.75,2340,1170,1.0,1917,3
Kirkland,3,2.5,2680,1610,1.0,1979,3
Seattle,3,2.5,2050,2050,2.0,2011,4
Seattle,3,1.75,1910,1080,1.0,1959,4
Bellevue,4,2.75,2420,1530,1.0,1977,4
Bellevue,3,2.5,2670,2670,2.0,1987,4
Woodinville,4,2.75,3110,3110,2.0,1983,4
Mercer Island,4,2.25,2070,1700,1.0,1967,4
Sammamish,3,3.5,3590,3590,2.0,1999,4
Bellevue,4,3.5,3500,2500,2.0,1994,4
Seattle,3,3.5,3250,2500,2.0,2001,4
Seattle,5,2.5,2920,2320,2.0,1906,4
Seattle,4,2.0,2660,1480,1.5,1923,4
Snoqualmie,5,4.75,5180,4070,2.0,2001,4
Seattle,6,4.5,3902,2782,3.0,1977,4
Bellevue,4,5.25,4670,4670,2.0,1989,4
Burien,3,1.0,1840,920,1.0,1953,1
Seattle,2,1.0,810,810,1.0,1948,1
Federal Way,4,2.25,1900,1900,1.0,1975,1
Seattle,5,2.5,2690,2690,2.0,2012,1
Seattle,2,1.0,780,780,1.0,1943,1
Federal Way,3,2.0,1970,1300,1.0,1967,1
Federal Way,4,2.5,2680,2680,2.0,1999,1
Fall City,3,1.5,1750,1150,1.0,1954,2
Maple Valley,3,2.5,3080,3080,2.0,1990,2
Milton,3,1.75,1370,1370,1.0,1983,2
Shoreline,3,1.75,1020,1020,1.5,1953,2
Seattle,4,1.0,1550,1550,1.5,1954,2
Normandy Park,3,1.0,1560,1560,1.0,1953,2
Seattle,2,1.5,1490,930,1.0,1956,2
Des Moines,3,2.5,2700,1350,1.0,1959,2
Seattle,2,2.0,1405,1140,2.0,2007,2
Carnation,4,2.0,1880,1880,2.0,1978,2
Woodinville,3,1.75,1910,1340,1.0,1977,2
Kirkland,4,2.25,2070,2070,2.0,1977,2
Lake Forest Park,3,1.75,1470,1070,1.0,1939,2
Seattle,2,1.0,1260,1260,1.5,1926,2
Bellevue,4,2.0,1470,1470,1.0,1965,2
Issaquah,3,2.5,1480,1480,2.0,2005,2
Seattle,2,1.75,1740,990,1.0,1946,2
Renton,4,1.75,2050,1250,1.0,1959,2
Bellevue,4,2.25,1740,1170,1.0,1958,2
Issaquah,3,2.5,2030,1720,2.0,2001,2
Seattle,4,1.0,1720,1720,1.5,1904,3
Kirkland,3,1.75,1480,1480,1.0,1974,3
Kirkland,4,1.5,1320,1320,1.0,1954,3
Kirkland,5,2.75,2440,1240,1.0,1972,3
Woodinville,3,1.5,1730,1730,2.0,1983,3
Sammamish,3,2.0,2260,1780,1.0,1985,3
Seattle,4,2.5,2040,2040,2.0,1990,3
Seattle,3,1.5,1900,1640,1.5,1926,3
Newcastle,3,2.5,2400,2400,2.0,1993,3
Issaquah,4,2.5,2430,2430,2.0,2008,3
Snoqualmie,4,2.5,2630,2630,2.0,2008,3
Seattle,4,2.5,1990,1680,2.0,2005,3
Redmond,4,2.5,2560,2560,2.0,2001,3
Sammamish,4,2.5,2840,2840,2.0,1990,3
Seattle,3,1.75,1980,1140,1.5,1926,3
Shoreline,3,2.25,2270,1820,1.0,1975,3
Bellevue,3,2.5,2550,2550,2.0,1990,4
Kirkland,4,2.75,3010,3010,2.0,2014,4
Seattle,4,2.5,2820,2050,2.0,2013,4
Seattle,4,3.0,2720,1800,2.0,1919,4
Redmond,3,2.5,2670,2670,2.0,1986,4
Shoreline,5,2.5,4600,2300,1.0,1956,4
Bellevue,4,2.0,2230,2230,1.5,1959,4
Redmond,2,2.0,2280,2280,1.0,2002,4
Sammamish,5,2.75,3030,3030,2.0,2014,4
Sammamish,4,3.0,3240,3240,2.0,2013,4
Seattle,4,2.75,2880,1710,1.5,1928,4
Sammamish,4,2.5,4150,4150,2.0,2014,4
Burien,4,3.25,3450,2430,2.0,1960,4
Kenmore,5,2.75,4400,2250,1.0,1963,4
Seattle,4,3.5,3010,2370,2.0,1999,4
Issaquah,4,4.0,4270,3180,2.0,2004,4
Bellevue,4,3.5,4280,4280,2.0,2005,4
Renton,4,2.5,3070,3070,2.0,2006,2
Seattle,3,3.0,1730,1730,3.0,1985,2
Sammamish,4,2.5,2460,2460,2.0,1998,3
Issaquah,6,2.5,3820,2040,1.0,1974,3
Renton,4,2.5,1811,1811,2.0,2007,1
Seattle,2,1.0,1440,960,1.0,1915,2
Seattle,3,1.0,1300,1300,1.5,1927,2
Woodinville,4,2.25,2450,2450,2.0,1976,3
Renton,3,2.75,3400,2470,2.0,2009,3
Bothell,5,3.0,2870,2090,2.0,2007,3
Issaquah,4,2.5,1780,1780,2.0,1994,3
Snoqualmie,3,2.5,2300,2300,2.0,2001,3
Redmond,4,2.25,2370,2370,2.0,1979,3
Federal Way,4,1.75,1980,1480,1.0,1978,1
Renton,3,1.5,1150,1150,1.0,1963,1
Federal Way,4,1.75,1300,1300,1.0,1969,1
SeaTac,3,1.0,1330,1330,1.0,1948,1
Burien,3,1.0,1590,1590,1.5,1944,1
Auburn,3,1.75,1330,1330,1.0,1998,1
Seattle,4,1.0,1910,1910,1.5,1934,1
Enumclaw,5,1.5,2520,1510,1.5,1928,1
Federal Way,3,2.25,2210,2210,2.0,1969,1
Des Moines,2,1.0,1200,1200,1.0,1917,1
Redmond,4,2.0,2030,2030,1.0,1976,1
Duvall,2,1.0,1000,1000,1.0,1960,1
Auburn,4,2.75,1990,1270,1.0,1999,1
Auburn,3,2.25,1680,1680,2.0,1987,1
Tukwila,3,1.5,1860,1200,1.0,1963,1
Renton,4,3.0,2390,2390,2.0,1974,1
Kent,4,2.5,1980,1980,2.0,2003,2
Seattle,3,2.5,1480,1150,2.0,2010,2
Duvall,3,2.0,1350,1350,1.0,1986,2
Renton,4,1.75,1920,1500,1.0,1975,2
Seattle,2,1.5,1340,1120,2.0,2008,2
Seattle,3,2.5,1210,1210,3.0,2008,2
Sammamish,3,1.75,1240,1240,1.0,1978,2
Seattle,2,1.75,1060,960,2.0,2008,2
Kent,3,3.0,2500,2500,2.0,1997,2
Seattle,3,2.5,1800,1800,2.0,2011,2
Auburn,4,2.75,2190,2190,2.0,1993,2
Kenmore,3,1.75,1710,1710,1.0,1958,2
Renton,4,1.5,2020,2020,1.0,1960,2
Kirkland,3,1.75,1230,1230,1.0,1987,2
Renton,4,1.75,2700,2700,1.5,1968,2
Seattle,3,2.5,1720,1240,2.0,2004,2
Renton,4,3.5,2370,2370,2.5,2013,2
Seattle,2,1.0,1140,1140,1.0,1942,2
Snoqualmie,3,2.5,1960,1960,2.0,2006,2
Seattle,3,1.0,1410,910,1.0,1956,2
Seattle,3,2.0,1310,780,1.0,1986,2
Seattle,3,2.25,1890,1230,1.0,1973,2
Seattle,3,1.75,2240,1120,1.0,1948,2
Duvall,4,2.5,2170,2170,2.0,1992,2
Seattle,3,1.75,1640,1110,1.0,1940,2
North Bend,4,2.5,2330,2330,2.0,1998,2
Lake Forest Park,4,2.75,1980,1980,1.0,1952,2
Burien,4,1.75,2220,2220,2.0,1964,2
Seattle,3,3.5,1500,1240,2.0,2004,2
Bellevue,4,1.75,2240,2240,1.5,1965,3
Bellevue,3,1.75,1300,1300,1.0,1963,3
Issaquah,3,3.0,2470,2470,2.0,1980,3
Sammamish,3,2.5,1900,1900,2.0,2005,3
Renton,3,2.25,2190,1240,1.0,1963,3
Seattle,4,2.5,2700,1440,1.0,1968,3
Sammamish,3,2.5,2260,2260,2.0,2005,3
Seattle,2,2.5,1380,1380,3.0,2006,3
Bellevue,3,1.75,1760,1760,1.0,1977,3
Seattle,3,1.5,2070,1140,1.0,1948,3
Duvall,4,2.5,2800,2800,2.0,2001,3
Seattle,3,1.75,2050,1070,1.0,1977,3
Redmond,2,2.0,1870,1870,1.0,2003,3
Kent,4,3.5,3730,2440,2.0,1991,3
Duvall,3,2.5,2630,2630,2.0,2004,3
Woodinville,3,2.5,2670,2670,2.0,1981,3
Maple Valley,4,2.5,3190,3190,2.0,2006,3
Seattle,3,2.5,2590,2590,2.0,2004,3
Bellevue,3,1.75,2210,1390,1.0,1958,3
Sammamish,3,2.5,2140,2140,2.0,1991,3
Issaquah,4,2.5,2380,2380,2.0,1992,3
Woodinville,4,2.5,2350,2350,2.0,1994,3
Sammamish,4,3.0,3150,3150,2.0,2000,4
Carnation,4,2.5,2800,2800,2.0,1999,4
Redmond,4,2.5,2610,2610,2.0,1988,4
Seattle,4,3.25,2050,1370,2.0,1987,4
Seattle,4,2.5,2030,1630,1.5,1926,4
Bellevue,3,2.5,2630,1580,1.0,1967,4
Woodinville,4,2.25,3160,3160,1.0,1981,4
Seattle,4,2.5,2730,2230,1.5,1909,4
Bellevue,3,2.5,2850,1730,1.0,1954,4
Medina,4,2.5,2740,2740,2.0,1984,4
Mercer Island,4,2.5,4250,3260,2.0,1972,4
Mercer Island,4,3.25,3300,3300,2.0,1985,4
Bellevue,5,3.5,4220,2110,1.0,1958,4
Bellevue,4,3.25,4130,4130,2.0,1978,4
Renton,4,1.0,1120,860,1.0,1939,1
Seattle,4,1.0,1200,1200,1.5,1944,1
Des Moines,3,1.0,1010,1010,1.0,1959,1
Burien,3,1.0,970,970,1.0,1965,1
Auburn,3,1.75,1330,1330,1.0,1973,1
Auburn,3,1.0,920,920,1.0,1962,1
Federal Way,3,1.0,970,970,1.0,1967,1
Covington,3,1.75,1760,920,1.0,1979,1
Kent,3,1.75,1590,1130,1.0,1984,1
Kent,3,2.0,1320,1320,1.0,1975,1
Tukwila,3,1.75,2040,1020,1.0,1962,1
Seattle,2,1.0,1380,870,1.0,1943,1
Maple Valley,3,2.5,1560,1560,2.0,2003,1
Federal Way,4,2.25,1940,1940,2.0,1990,1
Vashon,2,2.0,1651,1651,1.0,1946,1
Auburn,4,2.5,2009,2009,2.0,2014,2
Renton,2,1.5,1010,1010,2.0,1981,2
Shoreline,4,1.0,1150,1150,1.5,1947,2
Seattle,3,2.5,1780,1230,1.0,1990,2
Shoreline,4,1.0,1740,1740,1.5,1965,2
Renton,3,1.75,1420,1100,1.0,1984,2
Kent,4,2.5,1930,1930,2.0,1992,2
Seattle,2,1.0,1740,950,1.0,1924,2
Renton,3,1.75,2430,1410,1.0,1978,2
Shoreline,3,1.75,1540,920,1.0,1955,2
Vashon,2,0.75,1392,1392,1.5,1978,2
Shoreline,3,1.75,1890,1890,2.0,1952,2
Woodinville,4,2.0,1630,1630,1.0,1968,2
Bothell,3,1.75,1520,1520,1.0,1976,2
Renton,4,2.5,1960,1960,2.0,2002,2
Burien,4,2.5,2210,2210,2.0,1999,2
Lake Forest Park,3,1.5,1530,1530,1.0,1975,2
Shoreline,4,1.5,1680,1130,1.0,1959,2
Kirkland,4,1.75,1720,860,1.0,1971,2
Maple Valley,4,2.75,1940,1940,2.0,1990,2
Bothell,4,2.5,2530,1440,1.0,1978,2
Seattle,2,1.0,1100,1100,1.0,1926,2
Renton,3,2.5,2090,2090,2.0,2000,2
Seattle,4,1.0,1390,1390,1.5,1941,2
Kenmore,3,2.5,2340,2340,2.0,1995,2
Seattle,3,3.25,1410,1410,3.0,2005,2
Seattle,3,1.5,2010,1570,1.0,1951,2
Seattle,3,1.75,1870,1270,1.0,1959,2
Fall City,5,2.25,1970,1450,1.0,1986,2
Seattle,3,1.5,1290,1290,3.0,2000,2
Seattle,2,1.0,1470,1020,1.0,1941,2
Lake Forest Park,3,1.75,2290,1620,1.0,1965,2
Federal Way,5,2.5,2732,1870,1.0,1975,2
Seattle,4,1.75,2320,1140,1.0,1910,2
Bellevue,4,2.0,1210,1210,1.0,1955,2
Covington,4,2.5,3020,3020,2.0,1994,2
Issaquah,3,2.0,2220,1640,2.0,1980,2
Kirkland,3,2.5,1800,1800,2.0,1996,3
Seattle,3,2.0,2110,1080,1.0,1919,3
Renton,5,2.75,2880,2880,2.0,2006,3
North Bend,4,2.75,2790,2790,2.0,2013,3
Seattle,3,2.0,2180,1680,1.5,1930,3
Seattle,4,2.0,2180,1020,1.0,1900,3
Seattle,4,1.75,2440,1340,1.0,1954,3
Lake Forest Park,5,3.0,3670,2060,1.0,1952,3
Seattle,4,2.0,2750,2250,1.5,1916,3
Issaquah,4,4.5,3870,2530,2.0,2001,3
Bothell,4,2.75,2490,1400,1.0,1983,3
Kirkland,4,2.25,2560,2560,2.0,1973,3
Bellevue,3,1.75,2050,1460,1.0,1962,3
Sammamish,3,2.5,2510,2510,2.0,1996,3
Seattle,3,1.75,1820,1620,1.0,1957,3
Seattle,3,1.75,1760,1460,1.0,1960,3
Redmond,3,2.5,2550,2550,2.0,2001,3
Snoqualmie,4,3.5,3510,3510,2.0,2001,3
Sammamish,3,2.75,2540,2540,2.0,2005,3
Seattle,5,2.75,3100,3100,2.0,1950,4
Seattle,3,2.0,2080,1160,1.0,1954,3
Bellevue,3,3.5,2440,1990,2.0,2000,4
Redmond,3,2.5,3000,3000,2.0,1995,4
Sammamish,4,3.25,3490,3490,2.0,2006,4
Kirkland,5,3.25,2750,2150,2.0,1937,4
Bellevue,4,2.5,3700,2620,1.0,1988,4
Seattle,4,2.5,3340,2470,2.0,1998,4
Bellevue,5,2.5,2550,1610,1.0,1953,4
Kirkland,4,2.5,2580,2580,2.0,2013,4
Bellevue,6,3.75,2930,2930,2.0,2013,4
Kirkland,5,4.0,3760,3760,2.0,1983,4
Seattle,5,3.25,3230,2480,2.0,2014,4
Seattle,3,3.0,2940,2230,2.0,1988,4
Kirkland,5,3.75,3630,2470,1.5,2004,4
Mercer Island,4,2.5,3040,3040,2.0,2001,4
Mercer Island,5,3.25,5270,4010,2.0,1977,4
Seattle,1,1.0,620,620,1.0,1939,1
Renton,2,1.0,700,700,1.0,1953,1
Covington,3,1.75,1570,1310,1.0,1977,1
Seattle,3,1.0,1050,1050,1.0,1942,1
Auburn,3,2.0,1640,1640,1.5,1910,1
North Bend,3,1.5,1360,1360,1.5,1984,1
SeaTac,5,1.5,1510,1510,1.0,1959,1
Seattle,2,1.5,982,806,2.0,2006,1
Seattle,3,1.5,1160,1160,1.0,1962,1
North Bend,2,1.0,1350,1350,1.0,1952,1
Federal Way,3,2.5,1860,1860,2.0,1989,1
Kent,3,2.5,1870,1870,2.0,2005,1
Maple Valley,3,1.75,1520,1520,1.0,1968,1
Renton,2,1.0,860,860,1.0,1931,1
Auburn,4,2.75,2414,2414,2.0,2006,1
Seattle,5,3.5,2100,1410,2.0,1999,1
Auburn,3,2.5,2250,2250,2.0,1994,2
Seattle,3,1.0,1160,1160,1.0,1952,2
Snoqualmie,3,1.75,1790,1130,1.0,1978,2
Federal Way,3,2.5,2456,2456,2.0,2012,2
Federal Way,3,2.5,2210,2210,2.0,1989,2
Seattle,2,1.0,720,720,1.0,1942,2
Renton,4,2.25,2030,1230,1.0,1963,2
Seattle,3,2.5,1430,1430,3.0,2002,2
Seattle,3,3.25,1460,1130,2.0,2006,2
Shoreline,3,1.75,1170,1170,1.0,1962,2
Redmond,3,1.0,940,940,1.0,1965,2
Seattle,3,1.0,890,890,1.0,1951,2
Shoreline,3,2.0,1370,1370,1.0,1964,2
Lake Forest Park,3,1.5,1460,1460,1.0,1954,2
Seattle,3,1.5,1270,1080,2.0,2004,2
Seattle,3,2.0,1640,1640,1.0,1948,2
